Date : 2025-07-29 02:17:11
Directory : d:\repo\Phoenix11
Total : 852 files,  105764 codes, 6666 comments, 14251 blanks, all 126681 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| accounting\templates\accounting\includes\products-app                                                             |          4 |        199 |          0 |         40 |        239 |
| accounting\templates\accounting\includes\service-app                                                              |          3 |         20 |          0 |          7 |         27 |
| accounting\templates\accounting\includes\services-app                                                             |          2 |        122 |          0 |         11 |        133 |
| accounting\templates\accounting\includes\set-account-parent-app                                                   |          2 |        113 |          0 |         28 |        141 |
| accounting\templatetags                                                                                           |          4 |         39 |          2 |          8 |         49 |
| archive                                                                                                           |         20 |        702 |         26 |        142 |        870 |
| archive (Files)                                                                                                   |         11 |        348 |         25 |         62 |        435 |
| archive\migrations                                                                                                |          2 |         42 |          1 |          8 |         51 |
| archive\templates                                                                                                 |          7 |        312 |          0 |         72 |        384 |
| archive\templates\archive                                                                                         |          7 |        312 |          0 |         72 |        384 |
| archive\templates\archive (Files)                                                                                 |          6 |        312 |          0 |         71 |        383 |
| archive\templates\archive\includes                                                                                |          1 |          0 |          0 |          1 |          1 |
| attachments                                                                                                       |         57 |      3,233 |        261 |        723 |      4,217 |
| attachments (Files)                                                                                               |         12 |      1,133 |        224 |        254 |      1,611 |
| attachments\migrations                                                                                            |          7 |        252 |          6 |         39 |        297 |
| attachments\templates                                                                                             |         38 |      1,848 |         31 |        430 |      2,309 |
| attachments\templates\attachments                                                                                 |         38 |      1,848 |         31 |        430 |      2,309 |
| attachments\templates\attachments (Files)                                                                         |         11 |        366 |         14 |        113 |        493 |
| attachments\templates\attachments\includes                                                                        |         27 |      1,482 |         17 |        317 |      1,816 |
| attachments\templates\attachments\includes (Files)                                                                |          1 |          0 |          0 |          1 |          1 |
| attachments\templates\attachments\includes\areas-app                                                              |          2 |        167 |          0 |         50 |        217 |
| attachments\templates\attachments\includes\comments-app                                                           |          4 |        225 |          0 |         15 |        240 |
| attachments\templates\attachments\includes\downloads-app                                                          |          3 |        227 |          0 |         47 |        274 |
| attachments\templates\attachments\includes\images-app                                                             |          2 |        128 |          0 |         47 |        175 |
| attachments\templates\attachments\includes\links-app                                                              |          3 |        216 |          6 |         44 |        266 |
| attachments\templates\attachments\includes\locations-app                                                          |          6 |        257 |          0 |         45 |        302 |
| attachments\templates\attachments\includes\page-like-app                                                          |          4 |        185 |          0 |         59 |        244 |
| attachments\templates\attachments\includes\tags-app                                                               |          2 |         77 |         11 |          9 |         97 |
| authentication                                                                                                    |         42 |      9,192 |         33 |      1,189 |     10,414 |
| authentication (Files)                                                                                            |         12 |        583 |         16 |        142 |        741 |
| authentication\migrations                                                                                         |          3 |         64 |          2 |         14 |         80 |
| authentication\static                                                                                             |          1 |      7,524 |         15 |        827 |      8,366 |
| authentication\static\authentication                                                                              |          1 |      7,524 |         15 |        827 |      8,366 |
| authentication\static\authentication\css                                                                          |          1 |      7,524 |         15 |        827 |      8,366 |
| authentication\templates                                                                                          |         26 |      1,021 |          0 |        206 |      1,227 |
| authentication\templates\authentication                                                                           |         26 |      1,021 |          0 |        206 |      1,227 |
| authentication\templates\authentication (Files)                                                                   |          9 |        240 |          0 |         38 |        278 |
| authentication\templates\authentication\includes                                                                  |         17 |        781 |          0 |        168 |        949 |
| authentication\templates\authentication\includes (Files)                                                          |          1 |         34 |          0 |         10 |         44 |
| authentication\templates\authentication\includes\add-person-app                                                   |          2 |        234 |          0 |         29 |        263 |
| authentication\templates\authentication\includes\add-profile-app                                                  |          2 |          0 |          0 |          2 |          2 |
| authentication\templates\authentication\includes\person-app                                                       |          4 |        154 |          0 |         47 |        201 |
| authentication\templates\authentication\includes\persons-app                                                      |          2 |         97 |          0 |         24 |        121 |
| authentication\templates\authentication\includes\profile-app                                                      |          4 |        160 |          0 |         51 |        211 |
| authentication\templates\authentication\includes\profiles-app                                                     |          2 |        102 |          0 |          5 |        107 |
| chef                                                                                                              |         41 |      2,011 |         11 |        339 |      2,361 |
| chef (Files)                                                                                                      |         12 |        577 |         10 |        128 |        715 |
| chef\migrations                                                                                                   |          2 |         56 |          1 |          8 |         65 |
| chef\templates                                                                                                    |         27 |      1,378 |          0 |        203 |      1,581 |
| chef\templates\chef                                                                                               |         27 |      1,378 |          0 |        203 |      1,581 |
| chef\templates\chef (Files)                                                                                       |         10 |        267 |          0 |         67 |        334 |
| chef\templates\chef\includes                                                                                      |         17 |      1,111 |          0 |        136 |      1,247 |
| chef\templates\chef\includes (Files)                                                                              |          1 |          0 |          0 |          1 |          1 |
| chef\templates\chef\includes\add-food-item-app                                                                    |          2 |        122 |          0 |         12 |        134 |
| chef\templates\chef\includes\add-meal-app                                                                         |          2 |        264 |          0 |         26 |        290 |
| chef\templates\chef\includes\add-meal-item-app                                                                    |          2 |        170 |          0 |         19 |        189 |
| chef\templates\chef\includes\food-items-app                                                                       |          2 |        131 |          0 |         11 |        142 |
| chef\templates\chef\includes\foods-app                                                                            |          2 |         92 |          0 |         10 |        102 |
| chef\templates\chef\includes\meal-items-app                                                                       |          2 |        138 |          0 |         31 |        169 |
| chef\templates\chef\includes\meals-app                                                                            |          2 |        115 |          0 |         12 |        127 |
| chef\templates\chef\includes\report-app                                                                           |          2 |         79 |          0 |         14 |         93 |
| core                                                                                                              |         35 |      1,197 |        148 |        216 |      1,561 |
| core (Files)                                                                                                      |         12 |        439 |        143 |         85 |        667 |
| core\migrations                                                                                                   |          2 |         65 |          1 |          8 |         74 |
| core\templates                                                                                                    |         21 |        693 |          4 |        123 |        820 |
| core\templates\core                                                                                               |         21 |        693 |          4 |        123 |        820 |
| core\templates\core (Files)                                                                                       |          4 |        113 |          0 |         56 |        169 |
| core\templates\core\includes                                                                                      |         17 |        580 |          4 |         67 |        651 |
| core\templates\core\includes (Files)                                                                              |          1 |          0 |          0 |          1 |          1 |
| core\templates\core\includes\page-app                                                                             |          5 |         60 |          0 |         12 |         72 |
| core\templates\core\includes\page-description-app                                                                 |          2 |         60 |          4 |          4 |         68 |
| core\templates\core\includes\page-priority-app                                                                    |          2 |         49 |          0 |          6 |         55 |
| core\templates\core\includes\page-related-app                                                                     |          3 |        129 |          0 |         22 |        151 |
| core\templates\core\includes\page-thumbnail-header-app                                                            |          2 |        197 |          0 |          8 |        205 |
| core\templates\core\includes\pages-app                                                                            |          2 |         85 |          0 |         14 |         99 |
| health                                                                                                            |         23 |        578 |          5 |        105 |        688 |
| health (Files)                                                                                                    |         12 |        193 |          4 |         58 |        255 |
| health\migrations                                                                                                 |          2 |         21 |          1 |          8 |         30 |
| health\templates                                                                                                  |          9 |        364 |          0 |         39 |        403 |
| health\templates\health                                                                                           |          9 |        364 |          0 |         39 |        403 |
| health\templates\health (Files)                                                                                   |          4 |         98 |          0 |         20 |        118 |
| health\templates\health\includes                                                                                  |          5 |        266 |          0 |         19 |        285 |
| health\templates\health\includes (Files)                                                                          |          1 |          0 |          0 |          1 |          1 |
| health\templates\health\includes\add-drug-app                                                                     |          2 |        135 |          0 |          7 |        142 |
| health\templates\health\includes\drugs-app                                                                        |          2 |        131 |          0 |         11 |        142 |
| log                                                                                                               |         17 |        308 |         15 |         96 |        419 |
| log (Files)                                                                                                       |          8 |        122 |         14 |         23 |        159 |
| log\migrations                                                                                                    |          2 |         25 |          1 |          8 |         34 |
| log\templates                                                                                                     |          7 |        161 |          0 |         65 |        226 |
| log\templates\log                                                                                                 |          7 |        161 |          0 |         65 |        226 |
| log\templates\log (Files)                                                                                         |          4 |         85 |          0 |         48 |        133 |
| log\templates\log\includes                                                                                        |          3 |         76 |          0 |         17 |         93 |
| log\templates\log\includes (Files)                                                                                |          1 |          0 |          0 |          1 |          1 |
| log\templates\log\includes\logs-app                                                                               |          2 |         76 |          0 |         16 |         92 |
| market                                                                                                            |         81 |      3,833 |         27 |        884 |      4,744 |
| market (Files)                                                                                                    |         12 |      1,253 |         24 |        332 |      1,609 |
| market\migrations                                                                                                 |          4 |        182 |          3 |         20 |        205 |
| market\templates                                                                                                  |         65 |      2,398 |          0 |        532 |      2,930 |
| market\templates\market                                                                                           |         65 |      2,398 |          0 |        532 |      2,930 |
| market\templates\market (Files)                                                                                   |         20 |        544 |          0 |        186 |        730 |
| market\templates\market\includes                                                                                  |         45 |      1,854 |          0 |        346 |      2,200 |
| market\templates\market\includes (Files)                                                                          |          1 |          6 |          0 |          2 |          8 |
| market\templates\market\includes\add-customer-app                                                                 |          2 |        187 |          0 |         13 |        200 |
| market\templates\market\includes\add-menu-app                                                                     |          2 |        121 |          0 |         19 |        140 |
| market\templates\market\includes\add-shop-app                                                                     |          2 |        132 |          0 |         33 |        165 |
| market\templates\market\includes\add-supplier-app                                                                 |          2 |        187 |          0 |         12 |        199 |
| market\templates\market\includes\add-to-cart-app                                                                  |          2 |         72 |          0 |         11 |         83 |
| market\templates\market\includes\cart-items-app                                                                   |          4 |        122 |          0 |         32 |        154 |
| market\templates\market\includes\categories-app                                                                   |          2 |         25 |          0 |         10 |         35 |
| market\templates\market\includes\customer-app                                                                     |          1 |         22 |          0 |          8 |         30 |
| market\templates\market\includes\customers-app                                                                    |          2 |        114 |          0 |         19 |        133 |
| market\templates\market\includes\desk-menu-app                                                                    |          3 |         98 |          0 |         13 |        111 |
| market\templates\market\includes\desks-app                                                                        |          2 |         89 |          0 |          8 |         97 |
| market\templates\market\includes\menus-app                                                                        |          2 |         89 |          0 |          8 |         97 |
| market\templates\market\includes\product-app                                                                      |          7 |        106 |          0 |         29 |        135 |
| market\templates\market\includes\product-shops-app                                                                |          2 |         76 |          0 |         29 |        105 |
| market\templates\market\includes\products-app                                                                     |          2 |         63 |          0 |         19 |         82 |
| market\templates\market\includes\shop-packages-app                                                                |          2 |        122 |          0 |         14 |        136 |
| market\templates\market\includes\shops-app                                                                        |          2 |        147 |          0 |         45 |        192 |
| market\templates\market\includes\supplier-app                                                                     |          1 |         17 |          0 |          9 |         26 |
| market\templates\market\includes\suppliers-app                                                                    |          2 |         59 |          0 |         13 |         72 |
| messenger                                                                                                         |         45 |      1,345 |         36 |        348 |      1,729 |
| messenger (Files)                                                                                                 |         17 |        537 |         30 |        119 |        686 |
| messenger\migrations                                                                                              |          2 |         74 |          1 |          8 |         83 |
| messenger\templates                                                                                               |         26 |        734 |          5 |        221 |        960 |
| messenger\templates\messenger                                                                                     |         26 |        734 |          5 |        221 |        960 |
| messenger\templates\messenger (Files)                                                                             |         10 |        280 |          5 |        120 |        405 |
| messenger\templates\messenger\help                                                                                |          1 |         28 |          0 |         17 |         45 |
| messenger\templates\messenger\includes                                                                            |         15 |        426 |          0 |         84 |        510 |
| messenger\templates\messenger\includes (Files)                                                                    |          1 |          0 |          0 |          1 |          1 |
| messenger\templates\messenger\includes\channels-app                                                               |          2 |         47 |          0 |          8 |         55 |
| messenger\templates\messenger\includes\chat-app                                                                   |          3 |        191 |          0 |         41 |        232 |
| messenger\templates\messenger\includes\events-app                                                                 |          2 |          0 |          0 |          2 |          2 |
| messenger\templates\messenger\includes\notification-app                                                           |          3 |         66 |          0 |         14 |         80 |
| messenger\templates\messenger\includes\send-sms-app                                                               |          2 |         75 |          0 |          9 |         84 |
| messenger\templates\messenger\includes\tickets-app                                                                |          2 |         47 |          0 |          9 |         56 |
| organization                                                                                                      |         30 |      1,114 |          9 |        196 |      1,319 |
| organization (Files)                                                                                              |         12 |        362 |          8 |         95 |        465 |
| organization\migrations                                                                                           |          2 |         38 |          1 |          8 |         47 |
| organization\templates                                                                                            |         16 |        714 |          0 |         93 |        807 |
| organization\templates\organization                                                                               |         16 |        714 |          0 |         93 |        807 |
| organization\templates\organization (Files)                                                                       |          5 |         96 |          0 |         23 |        119 |
| organization\templates\organization\includes                                                                      |         11 |        618 |          0 |         70 |        688 |
| organization\templates\organization\includes (Files)                                                              |          1 |          0 |          0 |          1 |          1 |
| organization\templates\organization\includes\add-employee-app                                                     |          2 |        187 |          0 |         27 |        214 |
| organization\templates\organization\includes\add-organization-unit-app                                            |          2 |        186 |          0 |         21 |        207 |
| organization\templates\organization\includes\employees-app                                                        |          2 |         96 |          0 |         11 |        107 |
| organization\templates\organization\includes\organization-unit-app                                                |          2 |         58 |          0 |          3 |         61 |
| organization\templates\organization\includes\organization-units-app                                               |          2 |         91 |          0 |          7 |         98 |
| phoenix                                                                                                           |          8 |        195 |         33 |         86 |        314 |
| processmanagement                                                                                                 |         14 |        113 |          3 |         32 |        148 |
| processmanagement (Files)                                                                                         |         10 |         57 |          3 |         25 |         85 |
| processmanagement\migrations                                                                                      |          1 |          0 |          0 |          1 |          1 |
| processmanagement\templates                                                                                       |          3 |         56 |          0 |          6 |         62 |
| processmanagement\templates\processmanagement                                                                     |          3 |         56 |          0 |          6 |         62 |
| projectmanager                                                                                                    |         42 |      3,143 |         28 |        734 |      3,905 |
| projectmanager (Files)                                                                                            |         12 |        748 |          9 |        191 |        948 |
| projectmanager\migrations                                                                                         |          7 |        195 |          6 |         38 |        239 |
| projectmanager\templates                                                                                          |         23 |      2,200 |         13 |        505 |      2,718 |
| projectmanager\templates\projectmanager                                                                           |         23 |      2,200 |         13 |        505 |      2,718 |
| projectmanager\templates\projectmanager (Files)                                                                   |          7 |        718 |          0 |        246 |        964 |
| projectmanager\templates\projectmanager\includes                                                                  |         16 |      1,482 |         13 |        259 |      1,754 |
| projectmanager\templates\projectmanager\includes (Files)                                                          |          1 |          0 |          0 |          1 |          1 |
| projectmanager\templates\projectmanager\includes\add-invoice-app                                                  |          2 |        213 |          0 |         36 |        249 |
| projectmanager\templates\projectmanager\includes\add-project-app                                                  |          2 |        200 |          0 |         26 |        226 |
| projectmanager\templates\projectmanager\includes\project-app                                                      |          2 |         32 |          0 |         11 |         43 |
| projectmanager\templates\projectmanager\includes\project-edit-app                                                 |          2 |        310 |          6 |         32 |        348 |
| projectmanager\templates\projectmanager\includes\projects-app                                                     |          2 |         88 |          0 |          9 |         97 |
| projectmanager\templates\projectmanager\includes\remote-clients-app                                               |          3 |        490 |          4 |         93 |        587 |
| projectmanager\templates\projectmanager\includes\sub-projects-app                                                 |          2 |        149 |          3 |         51 |        203 |
| school                                                                                                            |         30 |        999 |         10 |        184 |      1,193 |
| school (Files)                                                                                                    |         12 |        419 |          8 |        102 |        529 |
| school\migrations                                                                                                 |          3 |         60 |          2 |         14 |         76 |
| school\templates                                                                                                  |         15 |        520 |          0 |         68 |        588 |
| school\templates\school                                                                                           |         15 |        520 |          0 |         68 |        588 |
| school\templates\school (Files)                                                                                   |          6 |        111 |          0 |         23 |        134 |
| school\templates\school\includes                                                                                  |          9 |        409 |          0 |         45 |        454 |
| school\templates\school\includes (Files)                                                                          |          1 |          0 |          0 |          1 |          1 |
| school\templates\school\includes\add-course-app                                                                   |          2 |         74 |          0 |          6 |         80 |
| school\templates\school\includes\add-school-app                                                                   |          2 |        155 |          0 |         14 |        169 |
| school\templates\school\includes\courses-app                                                                      |          2 |         85 |          0 |          4 |         89 |
| school\templates\school\includes\schools-app                                                                      |          2 |         95 |          0 |         20 |        115 |
| static                                                                                                            |         82 |     59,525 |      5,216 |      5,445 |     70,186 |
| static\charts                                                                                                     |          6 |        149 |         30 |          6 |        185 |
| static\charts (Files)                                                                                             |          2 |        144 |         13 |          1 |        158 |
| static\charts\chartjs                                                                                             |          4 |          5 |         17 |          5 |         27 |
| static\img                                                                                                        |          3 |         18 |          3 |          0 |         21 |
